,cv,n_comp,feature_enc,rmse_train,rmse_test,r2_train,r2_test
126,4,50,SVD,344.9111440461592,320.924869426727,0.3661652867068186,0.3965999824084745
127,4,50,SC,342.77620571627085,319.1749614540516,0.37008861028618756,0.39989014344642104
128,4,75,NMF,326.4016933373204,308.0761034958922,0.40017964833521824,0.42075811512827377
129,4,75,AA,419.1435840670515,941.9822296311094,0.2297501602318135,-0.7711064117456627
130,4,75,SVD,314.3297090260464,296.50797092143495,0.42236403653750887,0.4425084126711144
131,4,75,SC,313.44029073521256,295.372126562966,0.4239984986217289,0.4446440168924566
132,4,100,NMF,309.1148927985639,296.6455744005825,0.43194717586333087,0.442249691862451
133,4,100,AA,400.6256616288042,1813.0477479366896,0.2637800901486649,-2.4088758685280163
134,4,100,SVD,306.915658968985,297.1600548410884,0.4359886536987042,0.44128237042236973
135,4,100,SC,306.5123474546972,296.5406305169905,0.4367298093338269,0.4424470063969046
136,4,200,NMF,266.87202885744824,282.90577219682626,0.509575846368731,0.46808314287003483
137,4,200,AA,342.2837065744945,6508.5637494122375,0.37099366382740673,-11.23734230353119
138,4,200,SVD,268.1362872541522,283.6109347116678,0.5072525498553075,0.4667573027298788
139,4,200,SC,268.741097318036,286.20433275662856,0.5061411052990618,0.46188121933769277
